log_id,mse,activity,Recognised
u2snGKk4UC9181m8IJS2p1jphM942gPn0Ni4GqXEFbAobLtTq4McNddOygmm4FxhBxeOXGwXHSHOfR9Sm8fw,1.223878238411817e-05,right,No
0yGJtdbPjH91ocDYKXWiiQ8GdnURmuqSwu4BmhZ17Pkd2B1CooBCiaiSQ392v07oDxLFybVS2OrJrSUqP6yQ,0.0003049654605174,right,No
aMP7dCYBEoL2FnB5IVTZmhnmtAwJWuZJhKWsl0UlVhb2DIIivLe0fPjwQ3Dsa5vbX5E1P939TiQxUbrxqBjA,0.0003049551218935,right,No
aTuVcHzz1UYlENx3AfTCuSvejzg7Oc3Ap4p5XdLHoWQ9cpoYg5DTpnuW9O0hmaSD9IkCyAs85cj9ALaJOBag,0.0003046895791508,right,No
CKuASVs0l8uene2fe1roZCq91JlNorY1rumviij8HOYpqZtPFe0jt8W7aymfmWtKh1HqoFBBucOynGzVw,0.0003058721157043,right,No
csu71SUSo83NYSsChwjkGq0WU591UkfBgpB0pYK2yQGTScZJiDD3WqP4N1JqT3D9FvS03zBOfdZNC4gp9HCw,0.000304860468248,right,No
fdNfAG7FSVYXECre0TFtY9MXnSaV4ktY3jrRM2Xz0LAEVjcfRD9EBMxkCRxqym0pcRlodsomjeuFPT6wtuQ,0.0003058251547934,right,No
HEe0DOXSfQOySpZinPZrRjfyeWf28bRBhfCP3um1twnn3QbUhf6g95koxf7uex8faeaevCaby1b1cLCfadNYVw,0.0003051055874888,right,No
JPNxWpPmL4szjhEjvocimduXXW5Yo6Hbz4tRFN1gO3HFES1Dksxdzz7wbMt4BVCVRLThOS8hDEJyHm05A,0.0003041283200894,right,No
KTujUbX0yLn3dkKWnADlIX39lcWvVz36dUPyRoAqSZKOPxmheGnxtlvKcNtosuze4IloyHdlrujjJW9wYDlA,0.000305026556172,right,No
KWrKNjZltVOrJ95DjF2wGWKJ1ex24xIvQ2oXsjNfJf13hPUHZcbG6QuRdtGh7lyJlvDprf5pn9volEBTkqgtQ,0.0003051219193583,right,No
PhneKXVsDZGtrjp2kIQ4XhLZAOK331R3PHHChvDwFoEPtMzYgYdw7spPBdtO4gnX8UL0ai5c4bWwb0K7rrQ2Iw,0.0003042166996179,right,No
q1pR0qOJPrZFN7yzZigJiIoVEWWQShYt1xPjtjPDP1gCN1wxSHQN1m5TBAyznwNpFV9DCXOwo13dcmZybgw,0.0003045402681784,right,No
RcbzBdG1wuaKc9QVmTRDvSJ0XaY7GgNG1MHMuQuarOwpM0E0W0VpvmDCzVYaA5LqvjJ2pY2bDzhw1fRNdA,0.0003031635972713,right,No
ve7iOhLbGE11HS2IX0VSFhVeTf2XAGyJmRtpbaaBjWteuM1DW2xlR26CCluLWiGXJgdhLJyKLMfiRtYiKuQ,0.0003061889941379,right,No
x7yIM3Hzc6hdi2xGCMWUSPL1NFX2ITFU2xfeexzVIZv6P87PeptuYzYVd9JPEyTbPQplVvqTfWPzPJ5ZxaJQ,0.0003050198329399,right,No
X8mcpH70fJv9M7xfAgOVfcFlnN95C8GWi1iBSiyxwJnRvFyyqKjJBXiQgSU8B6uQszdBP6Fbk0jCW0rAMbQ,0.0003049610510294,right,No
xhIfmMrr5sRLfOM7SUBlyEa0ArQVYycMAXYTJo086Axfrv6cKBYcb9mO36S1YPljkZOWGNvzEAu9yC4A,0.0003047114869056,right,No
xv58a14zbHiXPVdqlJaLhbiw45xF5RXG0lQyH1mbGcUp8w3YaedfwqYGBAjarf5IVI2i7r2H0hMAFqmGzKxMg,0.0003057578056355,right,No
YNyI4y1NKtLZJwpSgztiiTLm4Bi2ICAIs9PWmC7J3pe1UIueR6MZ7WxICHFfA4f3JDHm7L5Ti2uG0HzxuQ,0.0003052920483285,right,No
257FXjNHhsNBaDN0qqkdg2jlng6OOfuulR8Kr9E1Rife9YFcDGdiSbz6aaFGlfElEmygKjv2fvpIQwJlY95Q,1.3235525681763711e-05,wrong,No
2DsfeswNqNZnOCdU3FgENdgb3xHOnKM1zhDMQiAspblNLTzclWBj2AfAaftsiNky1D2NUV6A2bEpZQIhh0WMw,8.609208052697688e-06,wrong,No
3tNUqQYeevOu6FmYmRnnz7GvtyMePjiARXkRTqoib04RJrTdM6OE5MqUIgMQDSUv5QZApB7L4Z6Eqwh3LoQ,8.379740800108094e-06,wrong,No
5woaRxtr3GrWIVQWtyXZDFHCApw4WzDkUdzg6uJRUTlg9uwK8riobq9zlKSxWk5Lz9JZKMNvrKzbCABpHKmQ,0.0004623335498482,wrong,No
5ZjHMDacgyj7zT0DB7aO2m8EJv2xvEFZShybgiMDJREqGtLcCOadHKzekEdvKSSDXhTQGPLUiQ2Az4dvlTA,1.166399340170914e-05,wrong,No
6ggyHcxZWA4whRGGosJSiWjKGZ0V3IR1waVeTZ54J3DtG9Z7kvzihojurALEqCpD3vg6TC4nK1it1eBQpw,0.0003384547939622,wrong,No
blzmNFL3Q5AKLxk57JwK10tdatEAroe3ykbH39ZzoWzmBNHQjlVHYqkEsPkNCqsE0l06WrKiZz6rePNcRkg,1.1227139623578854e-05,wrong,No
bNvXo3HlgGHZEoZraZRJxza67LTA9FmBXswPCYPOufUjgqDudrTZdLbscs6vm0VHz46sa5vyPJ0h4zejEcZHQ,9.507836503606275e-06,wrong,No
CCCpQUXwWW7MlccK4FwFuPFTuO0hAz0BQwItzJb98cJWsvMnTnfKFtVmmocdwXzT4vQRDgyXhMk89uzCCQ,1.1132021152455434e-05,wrong,No
cGKE51PApL0J5WF8MBUg6MtRxgcORkBEMVjNY1iBgtfWyDIFffHlMVLYbjdEPEhvrreZBBDBfiq8uqHgOWNX8A,1.7770598446870548e-05,wrong,No
CJlxx4t4hAUsCFkKwVwC9c8PdZ6dERibh2Mqs133aDdCIusR47q0AsVn5Dp9iKhVOlrbYIkGrqEgqU8uBgNA,1.029015600282678e-05,wrong,No
cNsw3tz35wMvWzNavZnTgyREMR56uDlLuj1ewuUcQjIDhvTKNtsety9AFaEOoZJHSN9d8oREsErvczfIPPw,0.0001745885037986,wrong,No
emPpbs3bqNNm1wIvnwjRA33mzVvA2CaOLfHBV6iLfPM6hU9HeX3bjnf0sdBJ7grgd7qzVOn3j0WSmcoM4A,1.0195754655413e-05,wrong,No
FC8H1iBhKLQYdy4DsXUOHLvmfWel0bIxjVi3pxMht20Tdbjw7ufx0Bw1rK2SnsCJQhJG4SUZO3HTPCoZqA,9.350258483487873e-06,wrong,No
GSFRAj2b57K37WMqi1YNepcbGt9LrpgLYomi40Ylc3m8yodJlZ8JjSDs7NxbtXVCZa2bY5SjkaFblmkMx47w,0.000529806532089,wrong,No
H9C5xlC2pnjvp6QhQWF7DhYEcuVrBjWyibyah7xSxTQZ2a0zPQZryAQFMWwYFsCEWj1bz2dkbuekepZDAtdmLQ,0.0005870009965212,wrong,No
hm5vuujnrAROAP700iLgwE414xQJKAfkudGUnzXIud4m3ByJLx3XyTB1fdQipbsKl1kEyy4zFBgyCtRoA,8.042412077656706e-06,wrong,No
KHiZXlwh5dPGc6S2yUyXThxHxwUCEfVFej8Rz8FCJ9QsJBqp2fUGniVZgshw6QxWFZ2gsbRJQVCuhuJc8Q,0.0004140362127317,wrong,No
Kmg96ZtvYFl6skIeGF106PclXINiVvXKLsJghMBNPTrqnMPZXuE7eaWnNXrRqhNWLwGlswYsUxWg72uGotvg,1.0059012748995964e-05,wrong,No
lbMjBeffihnQWGieMuo7WaXXz3NbKHczQWp6KydpYakKSGxQPQJOayedeTBfHXVGuHGTemokrycruVQp2g,5.0807887756339954e-05,wrong,No
LdlMcPjDQNtS8TTdmHPuvesDdxTB8frPkGWdZmpm3VEGtUh1LPZKadF1bpBsYUOGWJmgDvDVvlHMjDrhxvg,9.91464607848516e-05,wrong,No
mBKuHfaZ2c0kpT3ozW9NhPlWivHySPrMWKL11YXWancwf1Np63wuGSfbLed8Gn0OQEgjpbSebN2KBP2KpynwA,1.0270578366644087e-05,wrong,No
n6Z6B9q8YeAQyTUrZcSzi7dNySBWwckUbvqOVJHw9twQx3n4SMHhH7IHfG0aagLotEeOdqoG2ooiHJhcg,1.058952409616194e-05,wrong,No
oCFXKlsxVeSPh7XwTiMSmQsd61VxS3FHB7pWUEgbYvT0Yq0CTwDEImJeSJx0xVJjYrtsbfgvY5AA3cDAecFg,8.884451061653948e-06,wrong,No
PlRl3gfi8wp9hUPs3HFR5vIBGm2ml3X6jvSynP0yruv3I7J8NowQVzSVjX9cMPBouOZU1TjvQTjNhfKVXYYxw,2.3900498185297565e-05,wrong,No
qjfPHmR2uBW026o5sWrnt9TfEBCIpmVg1ULRTo4KQl4nsqnmDqhqnejI6VZiWXCBMO8XdPz7A7TQ42IzFpxA,1.136324709743373e-05,wrong,No
RpxMDsl5rQ1DnUIfVDU8PmyckEzv3iLypap55P9rVXqpbBR7elUgtMMSo1piF2s5T5eaFgBAJSsQ8f04YRQ,7.89403777851142e-06,wrong,No
Tgxp5YSS9RQCfzJVW3qD8XT9OZgqkV8y1LwrKIS7nHQJ7oMuhN9urHCL243NBsZdaT8dUUJBDRr1oOtc6EQ,9.941170018591584e-06,wrong,No
tw4Qv8ImyzUOtWdRiCiyNLNjhT369PWnfPTdyADAZRWnQmqG78wI5Xl1K97ngGRoRpvUoRQBPQtw54WQcxRQ,5.732672214441127e-05,wrong,No
UWmpNpsO0vRpBfMo8XoEfpJnJBS4nBcEWWulYDiq9wonheX68dHRPKnXrPQWIxj7Nqy9uKDFwY5ooAfA1kTqg,3.332046973635089e-05,wrong,No
Va5fPRFzxRsG1GKUxsTRS1EMlY1c9r1Lz3UzgVjpigxkUsfyLv2Kk3twMIbTTihdQUS8H4z4kMkxbTGFtn2Pw,9.920887047070378e-06,wrong,No
XweFoTnWNx97wlMdWz4otQ1ed3f8pwkM3TyhteoXc3J58oybrN7NNbvH11qph3NwUMzbc7LB6Bxhrrw4tQ,9.461508570830503e-06,wrong,No
xyRXCdpJ4sAGQe9rwiqCgZ4KIMq96IAJbbt5hRzEajpcDPV1fi1cZQvdVwITKnBWcxORTxmCEHUBhCIwAh5A,8.808838315798069e-06,wrong,No
XZIMdi009nOwL4VHudq1BU7mJPLuVqWwS3rmQpg5qXKPVDKUtsvSm6351LlZifX9aTFHyVwAp9wFAnG5DIrwg,1.0746112051829214e-05,wrong,No
021YLpiAi2VSAbmXTT2Kw9zFzc7K17nuEVgzZm3beMmYoJhkc93M7JDBdI9IJXTipsflJGSnZDJ8LMYBYqCQ,0.000304390590968,wrong,No
0mHNFXUDdwACmydw5odIM6CqUor2IxCNe1feiMfSMForXW9ZMGa4JkexV7dL7WyRVfY33iznOJmsHI8IpD6Sw,0.0003044779005353,wrong,No
588HZWpaVHey9gPM2iOaB6bUT1dVC1JohV4VSyCC2YeLtJtoAegzIB9Ze7oXqFBpzYXNkh6VwsLtSYO031xfA,0.0003042666641342,wrong,No
5OdOWMEuL2I1wUIWM6ImT1YQdgODhzL46qKkCp3dM1wRZvVwutCe0ws7qOJ9KWJQ7TOB3ZvTdlndKxQwvp8EA,0.0003045078857624,wrong,No
5qJsiy6LQvfzyyXbN54prkh0YOTdlZvYbQB8aySMJtJ0RBQlnulWKLEW9a0pALMnIgabPG1bZnlWtrzLDe5w,0.0003039506987983,wrong,No
7sXb6wfHJl7jy8cf80TWTDVPktMS936Z724JYgCqn17vMw6XqhPUMXDWswOoPUfwTdL1NsmafermJ23GbIg,0.0003106127488536,wrong,No
chLuBJ3xU3XFTEAR1ZWmcR6pHdY6gCmYRxKUv4dojJH48P8vEelsP0OmZv77urEACYzwA6kkc95yfpvtJV5lZA,0.0003055407434906,wrong,No
dzLAN6LWUQM9qkoVPUZjmUk7WHKid96LS33NmkxaRPF38PdYZq2rJeZRH5QrrNAvf0Lj2UxTkjaoLLXQw84g,0.0003046520326911,wrong,No
EIM9mASGXaiZeWBnb6zZjjLMVMbbkZt5pSJ0D6XfOTjk55rDDFKWGal1JxHxTNUqRfsClmYrylRed6d7D3A,0.0003051748856647,wrong,No
fabT0v3VDiYRj2avRDiYQHxHflGzLnzTPZVDOiBD5xDT6zPkAbb7PoIiznEauQ16GfM6q8m9A57cGIxwaA,0.000304004031789,wrong,No
gWGmKdkZYU1L3lMulmubf8bkI5WmYACiSjlScEPSzAeTSNEbvHXzLoiMJIQAfFLk3Ae4jfblTGTLZlQCAA,0.0003040275692597,wrong,No
iaRq8hdusyc16oKinsPWMZiIi730yo5RLio5pBm0rcNt0vRrIPLkcAjTOcg65cG78UIm9w34bxqpZp8vCQ,0.00030414203272,wrong,No
L5tvpJmSDHYmG1BjpEoMd8EbykxyFZSyaOGcSJhS9Szmz9c9wFnV5AxSMWqLUxS71DxHPyE1udSDjnHIvJpQ,0.0003042513956808,wrong,No
