log_id,mse,activity
a3QT9hUVbegf68xRqNwWKfg2MMz8cdImNscLaZ0932GpVuv7tfTkvozIAn3QCpjqu2sr3fJ39072Ha6dPFuYw,0.008371893055764332,right
0m7JBc8u6xLxv0T3M1aciwxIfIdhRuNjF27Pxjqb0JECCFXadZiIuitIHFL69Z2ojS02qVZ1KO3Ypdb5GlA,6.11629398859804e-06,right
bEfACbt2972dwytqcabmck2T1Np09Q92gs3ZSp6WDY3fwC3clyhEypvpRSkffz4f5VID0t86Bosl53SO36A,2.6286926998591766e-09,right
cxtd8flymbNSavJCRvXpT4XykOF9H20M220DGcVUROXFkKnfOYJJ8c1MMYg4dL2OOHelOHHNUUbxrD5d3meg,2.4848169937935613e-09,right
fCp7lDfNDVXEbI1vYMTuT2np7JD2ceD5RA4SykeTTxehQjKKUhl4OpO2yDq8iIj6pFPBxBLBYqPZy6j01bTg,2.552539260214763e-09,right
FQOQ7CSMEEY3Rhd0410v7gHdUK9CaBe06zVpaFyji2etUG4q0cGi1DbVw2RuIr52mPdMTjbbDobvcqmNXw,3.260292243272871e-09,right
GwZifXqnf8YjrfO1fQDJs1OmT4iW30gKWI2m4ZPGl05sPmpcjn8R8PuQTkPmI602c8BBhprnz8EQMyCqA,2.388341450068163e-09,right
mRpskCyB4bcqMje0QiXUA0nuoas5OIpkSoaLiCCoVRGXKCgh5b8Il1UohmqB4CJByXrmudACRk8m2V9XZvmQ,2.5239259020023176e-09,right
MRtOYUFpWDQbyouGMeMrWmIGITINplm2LQUH1ZCWUMamOUxOuLeCCfSrkSZjSFubW9Ddbj6Ac9rfyjxuLeg,2.6657761403289003e-09,right
NxXOxZHZ4A5SfA5frhjuzrs5q4b7bwQvr4dNvV9fEcNmWAuQXjq64l2hOomb4aNO8rJ8R8iSSHrjfreASxQ,1.9829399295931544e-07,right
OUgZrvnp3z616rkUi8B85S5FGpghF0nH5n2ggwtIvmij1yPs4VZw2v0FdTlMwJwqYZpN12Tq1Dlmyy8Ajl1Eg,2.6010962696687834e-09,right
pgJ1ilxv912FBNV9jDbyL0L0Lp2YEZmIE0d8uWvYihog6dNxZSNyNK5kckUFtjlvNaERIDQOqanSxmGjAVg,2.414080302233873e-09,right
PnaFkK8uSlGuzXL5sxPDD8QUoETuAwzqfEP10nzzOm81AecRJtuuDRGUR8LdmubZM5y7vHltLjtVCxxKWRIQ,2.6464743978744114e-09,right
tSvwm6pYvImaT6zfqw7OmaaTfhHmNHqawtVGEOwPr4sYN3U9B0giZfuig07ltvQgtyGzLUQvy0R3KoKBlzGg,1.9372730736989465e-08,right
UFe738Ge6wxr0ZoSkCAk6TFajD0M7mMv8Ch1Fwp5mp6j4zKjep7josyHKHIn5rYsLaDFGijjjD3s4IDVYLGZA,2.5658080018285655e-09,right
vTzZy40umn0d2h8SJjXktr7otktRdEfs0fs5pwXIlZdMmOKnA94I9Km0qaLWhT31TDw8lbvHedee7Nj45LkA,2.3258544378126132e-09,right
wkRIfl3L47rghtOiCyYYpcnKBl9VtaziBF94Toc7BYG2eboStYEFeL64IuAS1jzm9aKhCdcaRb99bbgnAmZQ,2.4638566320457528e-09,right
Z6HCcnrPjK4li99KXypmHM9k5ZyYNfrlLddjCnQCEMC1YVfvRU30l2pAHdLO4Z5vumWoWRVIyegDxmscJDMQ,1.1849154045603237e-05,right
84LtcdBUs8RNrYBWZK9jPfG1ZaUV4OVVkKzMzm5aoyy3dYfyosglTHE116f8gV3tbToMpACcLNsczQfvcedHw,0.08382717358894182,wrong
GSFRAj2b57K37WMqi1YNepcbGt9LrpgLYomi40Ylc3m8yodJlZ8JjSDs7NxbtXVCZa2bY5SjkaFblmkMx47w,0.03202518083875426,wrong
mBKuHfaZ2c0kpT3ozW9NhPlWivHySPrMWKL11YXWancwf1Np63wuGSfbLed8Gn0OQEgjpbSebN2KBP2KpynwA,0.09764408626306705,wrong
qjfPHmR2uBW026o5sWrnt9TfEBCIpmVg1ULRTo4KQl4nsqnmDqhqnejI6VZiWXCBMO8XdPz7A7TQ42IzFpxA,0.15759493806190183,wrong
RrDidOzIwLRJhK4OYaAVNxA6GFp7u3AhkGOCaslO0uYJbUc9cqxkW5zRmjPCjRq9AjufU9ji6DQK2epG7mzw,0.23564758671148084,wrong
Y6QLETYq0j30PJL0CuwvBrJwZP7gLOmvXTeFcu45guDsMO58FRCosgvqWIwHzhB5OIFru5exWlKlGuwtG7vg,0.19159400917588507,wrong
021YLpiAi2VSAbmXTT2Kw9zFzc7K17nuEVgzZm3beMmYoJhkc93M7JDBdI9IJXTipsflJGSnZDJ8LMYBYqCQ,1.0731156752342842e-05,wrong
0e1qStnGxtSZ19dpb9mWysvx03n76R1guUEEnqNjTtxaQljumo6GcJKSlTMgAgzi4zWg0zrGCkQA02qtg,2.508785883994313e-09,wrong
0JI7zfW2hGzAxM88l9jVfHRUbzDWjqNZbDe34bw8zeNPS2Y7bhbwcVodXewbUNgRTg2uP9Q6MNV80a1gnaIg,2.3901272982831666e-09,wrong
0kqVthWRxVJRinafAVwZKFp8hI1zssOZg6XJOMOwsG0WXfl7wvgCqYAnpS4oXTyDUhITMPbC1clPTXcRSZkw,1.3897558732813061e-06,wrong
0mHNFXUDdwACmydw5odIM6CqUor2IxCNe1feiMfSMForXW9ZMGa4JkexV7dL7WyRVfY33iznOJmsHI8IpD6Sw,3.190479130007889e-05,wrong
0PA92gWpNsGv7hZVNbj8XzhhSfJjcg9vb23cA1mw7K8lYKeaQBxuNXjgWy2WEvUsXW4YLy4rOTvU0QMuxEcQ,2.5179937245426786e-09,wrong
0z1fXvVmxer9sf5GWyYWzH38CB4Ko6QKIEXDdpDUxu66poh1OduNtslXqlCUwwga5Bn6qLUGNrG83ZG0Q,2.8013229519084385e-09,wrong
17oUf8Cy7mNjoC4fGQmoXhX24wL56eD2ATjTsatKtw9VYgBbSz7gsT5MOznYLfZNbehyjknXKBbup39uPJhA,2.5045572826646475e-09,wrong
1lAj6owWazXbOwZGmpRVS00rHNgdHEdRgySuyyFvWHHIHv88zdD1qe3sEmZRDtP6cXCU0DXg42sVDEDrgw,3.746589876641687e-08,wrong
1NxL5MWjqJ4F2dW2A0eUjsaPky9I6CiI8SJ9iJBPp13OqgviNZCpGMZCXXIoKXtRI447B7lQhS96J1jew,2.4624646116978977e-09,wrong
1qlCj3pPA6OZsPbllxGUwgjgf2LhpQ4zOPTnCkFnUq8YIsutW4LY1C4I3r3SVPepSDBjqlDkbajkNltNA,2.4567963636084914e-09,wrong
1r3WiUteosV7fSX4ylWWLsNF0zbJkgN1ykpl3SrWJKWeSD0ZYnPxFB2PWOfg7j0oU2biZRvB5w9Xzh3KzhQ,5.284047286929694e-06,wrong
1rIT97TJXBNtwTlGwXKmhuuANhSVnA8ARc6TaJp66jXmVS981GWHBqsDzIGHAmxNv4BwEXlpSmNatv6IZSvw,4.065661129315502e-08,wrong
1rZt46HEtlAIkXjF0I7BjPf0NNXtP87QaXlc3exIcHXrG9DvPmPbSgoDWWbvWKErIuzcVd1jDAC6czI5Eag,2.550130627206202e-09,wrong
1TwwhoxVQajKEsyuz70aFvhFPdpJKeJiR3zAReQCugZwdhWzkzJv0Q85YNY0OO0lkce1lOqUnrxHKLGasQ,2.684540172683837e-09,wrong
27jcL6uUG0da3zLy4za4IU6HatoTOzDknmsLCZj6QgalBMqAq5Ox7R2dMDSSPzvUrLHVFtkFrPsO11nFjug,4.1919391394654115e-07,wrong
2Ay4CD1mMw4okEXNdpKHyHkuhO5OgDH2s79qlglL043q5IxkeiaQ0X61itMiFvl3syshLbgpRIo22JB7tpIQ,4.301578401649637e-09,wrong
2C2dNPDnxG9T1YWQhJflLwuYaNMkjdUKusZ7h27WEQqftnUkFj7FzmuKegk8XXdpICSCiibqJTUzbVnlzQ,2.9370866283432415e-09,wrong
2hRbAOuZ4riWhYQc2FzYOLYWEcSM8keaboJXa5bQdrh5hxgDwnbD2dHbdtutcqjctNkr0NISq4dYotgha7A,2.498355926620718e-09,wrong
2vie5tMmulE2LenAvkc0iWA50I8lLOIFkwb8fz7sM4D0RUbuQ8YSs3hs6fY4BvUsNc3y7Iofu9gh2f8TMDd2Sg,3.1470965771158066e-09,wrong
2xbJu0fNjcZOgL70P3lPIH44eAPPpB34NN6v8kUv2XYRozmZbkVVDkq7PGFw2vsAgvqqdzIM9wzIv7jYLPg,3.2416624078190564e-09,wrong
2ZRSmgmZ2TRjhtmGZpKxlPPcuTOjq1dklpHJMMOTZ2zO5pYR6Ulsrd5RRGjw4QjhmEumy6avBxsp8S6CA,2.5632897451523217e-09,wrong
3BcTmS6DtloaQcJaNC7tdAZKXh2T1D1XR0QRxJUBX5dnvKoIiCyBJiRGKLERHTWTlAf4hsh8Ub3wDTBGw,2.35915163083459e-09,wrong
3bY1RSuZIrdo6Vss702dxQf360Oyp1hsBCHvY7O15m8SvxahBpkrGMlkYI9vOlzL3vpNoGEL9NYBP7w1flnA,2.5810346204186684e-09,wrong
3iiKpwgjb7chIYdJkPEjalOmbBI4SoTr9WilsnK2TqNQvpcJIJuBEWePi2ZntXrur3DoRmckrl0c2vVA,1.0227106960510891e-08,wrong
3jSR7nXVwxCi9R0F6SleEB6WrszbAWtHxub87UIYNRgPRWtvE9XaiVZymtFCJ4bruIt1qbU6FdoHxqcAp1g,2.797333292277286e-09,wrong
3oxtoFy9CSSoG7sllZIFJT66rHg4oy54Cb6L5pGwvYFnRTFh3TCFrTHNIs66lZahmxOvMGgH2yQOxEXw,2.4748027300455956e-09,wrong
3VPwcViTqq60384stZVBTWkP7G3Y5bbt2OuDxMLieGQuVslDgOXHezMFHWt2dQ4T9E53u0ppmBfgwe3gl96g,2.496310788582237e-09,wrong
42K2VJ5SUhpvZdi2GaVQjV3Ij6sl0TvKXUqyfJmxrwleWZZLQUkEjtxeb4sQ0UlcGYY26PkraX20iTdGeQ,6.346351224638182e-09,wrong
4BJZojk4q0eV6SBvnO9mYnEMfwK2FgC95qMZZs82NWOueUw7QAEu2GgAnhE6LQDSkOwOiFAiFekPb2JMXzA,3.063731109797656e-09,wrong
4ggCjOJwtifXmADZdxSDnfaDZQb9qkm40JkwBdc3in7qsCDSsMCzudAoYCu9g9yJnZEZSxx8Vg89oHgifXoog,2.5211203114277303e-09,wrong
4H2agOy61pUi689B6nOlSE81Mkv7frFKF2B20rXgmzAPx56ILsfsloJZ0hBec1X3ZWOaglDJwbasYgGHtVw,1.561437062013683e-06,wrong
4IdzJ27if19YcZtHYsNUOqJxDh2NKg7UZGfULYkB8Czf2W4u8ext6L8MYa3w30nPj5wR9X1351AQlNU8qdTA,9.321853682547105e-09,wrong
4l9ZRM9iSHsWArEUiRI6ETexbwSNPq4zptljrnSVe16fukZ8Uj6KyjYwNLCL9h7APizCj2Wqb1OqCHNmRZw,1.4309700829916925e-06,wrong
4mi2IwdPyvCXTt7IXnhtQB8PD1jq5jLQ5uM2aj8LGaeUEVZzs6sYHN1nrkxa2pEt3Cz5mFcbljTP7SGgjvPg,4.3410489048106646e-09,wrong
