log_id,mse,activity,Recognised
bNvXo3HlgGHZEoZraZRJxza67LTA9FmBXswPCYPOufUjgqDudrTZdLbscs6vm0VHz46sa5vyPJ0h4zejEcZHQ,7.110245333950736e-08,right,Yes
tw4Qv8ImyzUOtWdRiCiyNLNjhT369PWnfPTdyADAZRWnQmqG78wI5Xl1K97ngGRoRpvUoRQBPQtw54WQcxRQ,1.1634824433489546e-06,right,Yes
yLhvLULhWQerm7j7u4UMjh9ivMuFq1Hwf2TLjOzmsMXvHm1GdZSYW9ETVtbMNx82gmV2dugSzH3wPT9kf6mw,2.1136155542018725e-07,right,Yes
257FXjNHhsNBaDN0qqkdg2jlng6OOfuulR8Kr9E1Rife9YFcDGdiSbz6aaFGlfElEmygKjv2fvpIQwJlY95Q,3.9194130337476434e-07,wrong,Yes
5woaRxtr3GrWIVQWtyXZDFHCApw4WzDkUdzg6uJRUTlg9uwK8riobq9zlKSxWk5Lz9JZKMNvrKzbCABpHKmQ,0.0001109972693559,wrong,No
5ZjHMDacgyj7zT0DB7aO2m8EJv2xvEFZShybgiMDJREqGtLcCOadHKzekEdvKSSDXhTQGPLUiQ2Az4dvlTA,2.3545403791826962e-07,wrong,Yes
6ggyHcxZWA4whRGGosJSiWjKGZ0V3IR1waVeTZ54J3DtG9Z7kvzihojurALEqCpD3vg6TC4nK1it1eBQpw,1.1716349724545e-07,wrong,Yes
84LtcdBUs8RNrYBWZK9jPfG1ZaUV4OVVkKzMzm5aoyy3dYfyosglTHE116f8gV3tbToMpACcLNsczQfvcedHw,2.6692605214924936e-06,wrong,Yes
a3QT9hUVbegf68xRqNwWKfg2MMz8cdImNscLaZ0932GpVuv7tfTkvozIAn3QCpjqu2sr3fJ39072Ha6dPFuYw,6.163085207774143e-07,wrong,Yes
CCCpQUXwWW7MlccK4FwFuPFTuO0hAz0BQwItzJb98cJWsvMnTnfKFtVmmocdwXzT4vQRDgyXhMk89uzCCQ,4.0519525817213965e-07,wrong,Yes
cGKE51PApL0J5WF8MBUg6MtRxgcORkBEMVjNY1iBgtfWyDIFffHlMVLYbjdEPEhvrreZBBDBfiq8uqHgOWNX8A,5.079722768145903e-07,wrong,Yes
emPpbs3bqNNm1wIvnwjRA33mzVvA2CaOLfHBV6iLfPM6hU9HeX3bjnf0sdBJ7grgd7qzVOn3j0WSmcoM4A,3.456311324564757e-08,wrong,Yes
GSFRAj2b57K37WMqi1YNepcbGt9LrpgLYomi40Ylc3m8yodJlZ8JjSDs7NxbtXVCZa2bY5SjkaFblmkMx47w,1.1348855755823021e-07,wrong,Yes
H9C5xlC2pnjvp6QhQWF7DhYEcuVrBjWyibyah7xSxTQZ2a0zPQZryAQFMWwYFsCEWj1bz2dkbuekepZDAtdmLQ,0.0001496919194502,wrong,No
hm5vuujnrAROAP700iLgwE414xQJKAfkudGUnzXIud4m3ByJLx3XyTB1fdQipbsKl1kEyy4zFBgyCtRoA,4.5195700739174124e-09,wrong,Yes
KHiZXlwh5dPGc6S2yUyXThxHxwUCEfVFej8Rz8FCJ9QsJBqp2fUGniVZgshw6QxWFZ2gsbRJQVCuhuJc8Q,0.0001002598629822,wrong,No
lbMjBeffihnQWGieMuo7WaXXz3NbKHczQWp6KydpYakKSGxQPQJOayedeTBfHXVGuHGTemokrycruVQp2g,1.5228922936852312e-06,wrong,Yes
mBKuHfaZ2c0kpT3ozW9NhPlWivHySPrMWKL11YXWancwf1Np63wuGSfbLed8Gn0OQEgjpbSebN2KBP2KpynwA,5.693448140087026e-08,wrong,Yes
oCFXKlsxVeSPh7XwTiMSmQsd61VxS3FHB7pWUEgbYvT0Yq0CTwDEImJeSJx0xVJjYrtsbfgvY5AA3cDAecFg,6.380198995864754e-09,wrong,Yes
PlRl3gfi8wp9hUPs3HFR5vIBGm2ml3X6jvSynP0yruv3I7J8NowQVzSVjX9cMPBouOZU1TjvQTjNhfKVXYYxw,1.205912180646348e-06,wrong,Yes
qjfPHmR2uBW026o5sWrnt9TfEBCIpmVg1ULRTo4KQl4nsqnmDqhqnejI6VZiWXCBMO8XdPz7A7TQ42IzFpxA,3.534554142880759e-07,wrong,Yes
RrDidOzIwLRJhK4OYaAVNxA6GFp7u3AhkGOCaslO0uYJbUc9cqxkW5zRmjPCjRq9AjufU9ji6DQK2epG7mzw,2.1320007195704435e-08,wrong,Yes
rWFEbcy1db3HCw0ykwZkwwx21Bg5IDAqGjJG5A52Ka7q1iCzycJTXyqwnSdwMJL7nOOR4cVdec57hwKgZA,2.178358057458329e-06,wrong,Yes
Tgxp5YSS9RQCfzJVW3qD8XT9OZgqkV8y1LwrKIS7nHQJ7oMuhN9urHCL243NBsZdaT8dUUJBDRr1oOtc6EQ,7.4469027403929565e-09,wrong,Yes
UWmpNpsO0vRpBfMo8XoEfpJnJBS4nBcEWWulYDiq9wonheX68dHRPKnXrPQWIxj7Nqy9uKDFwY5ooAfA1kTqg,6.935562681221537e-06,wrong,Yes
Va5fPRFzxRsG1GKUxsTRS1EMlY1c9r1Lz3UzgVjpigxkUsfyLv2Kk3twMIbTTihdQUS8H4z4kMkxbTGFtn2Pw,5.280623313297277e-08,wrong,Yes
XZIMdi009nOwL4VHudq1BU7mJPLuVqWwS3rmQpg5qXKPVDKUtsvSm6351LlZifX9aTFHyVwAp9wFAnG5DIrwg,4.913505489258447e-08,wrong,Yes
Y6QLETYq0j30PJL0CuwvBrJwZP7gLOmvXTeFcu45guDsMO58FRCosgvqWIwHzhB5OIFru5exWlKlGuwtG7vg,1.2855933692869403e-08,wrong,Yes
HsWsXEzfbrdaeMZOvVphCRifPk9j6vQSIArqdL8Gy7bJjv4n7DA9DiNLZ65iu4sB6SjHisdF2yO1gXU2YMA,1.8333840633481414e-07,wrong,Yes
j7DYLRBJPRvi5Ews63BZTi4ahWfwcphbN6CMR5UmYVksTk3mfKKPb22lLhI1HaRd6PRu2gOtxPwV4dETngWVJA,1.5497859650151234e-07,wrong,Yes
MwKeJG2e2DyYMHyPXOXDi6FxnJiSxArLsxaXQ2m0TyVc5QYzQw7ZK0tNUSPBHmAw4rGQy8OmImsk9gLIC6ag,2.2592529815753842e-07,wrong,Yes
uIbB3QuAeIOA57B7K6L6xGakcXYzgfZov1aLnNLUWFjHo2KGYSefmFQiyIU3pGZrYzl2li8YOaNpsvMPJp6g,1.553114714810921e-07,wrong,Yes
URiBRAq92qE28kY0yP5cb3GSqX88s50rGs9ffWcRLQw7pZpFYDl6y5wyPM9SBfgaKt4nXeSvNfG3kUHk3StLg,1.5183227819818955e-07,wrong,Yes
