Timestamp,Head_Pitch,Head_Yaw,Head_Roll,Head_X,Head_Y,Head_Z,Controller_Pitch,Controller_Yaw,Controller_Roll,Controller_X,Controller_Y,Controller_Z,Codice,Utente
128.6075,26.7,24.3,2.5,-0.1,1.6,0.1,47.2,183.0,61.6,0.1,1.1,0.2,54321,1
128.6776,25.9,24.1,2.4,-0.1,1.6,0.1,49.3,181.2,60.9,0.1,1.1,0.2,54321,1
128.7516,25.6,24.0,2.4,-0.1,1.6,0.1,52.1,179.2,59.0,0.1,1.1,0.2,54321,1
128.8145,25.2,23.7,2.4,-0.1,1.6,0.1,54.2,182.6,62.7,0.1,1.1,0.2,54321,1
128.8735,24.6,23.5,2.4,-0.1,1.6,0.1,56.0,183.9,63.6,0.0,1.1,0.2,54321,1
128.9302,23.6,23.3,2.3,-0.1,1.6,0.1,56.2,181.7,62.5,0.0,1.1,0.2,54321,1
128.9865,22.5,22.3,1.9,-0.1,1.6,0.1,56.7,179.6,60.9,0.0,1.1,0.2,54321,1
129.0429,21.3,21.6,1.7,-0.1,1.6,0.1,55.1,178.6,61.4,0.0,1.1,0.2,54321,1
129.0993,20.3,21.7,1.9,-0.1,1.6,0.1,54.1,177.9,61.2,0.0,1.1,0.2,54321,1
129.1557,19.4,21.9,1.8,-0.1,1.6,0.1,53.8,176.4,60.9,0.0,1.1,0.2,54321,1
129.2126,18.7,22.5,1.8,-0.1,1.6,0.1,52.5,174.6,59.0,0.0,1.1,0.2,54321,1
129.2688,18.1,23.0,1.9,-0.1,1.6,0.1,52.0,177.2,61.6,0.0,1.1,0.2,54321,1
129.326,17.2,23.4,1.8,-0.1,1.6,0.1,51.8,176.0,59.7,0.0,1.1,0.1,54321,1
129.3824,16.8,23.8,2.0,-0.1,1.6,0.1,51.2,178.3,62.0,0.0,1.1,0.1,54321,1
129.4401,16.2,24.3,1.7,-0.1,1.6,0.1,51.4,178.2,61.3,0.0,1.1,0.1,54321,1
129.4969,15.9,24.5,1.5,-0.1,1.6,0.1,51.5,179.1,61.8,0.0,1.1,0.2,54321,1
129.5398,15.3,25.1,1.3,-0.1,1.6,0.1,51.6,180.7,62.9,0.0,1.1,0.2,54321,1
129.5959,14.8,25.6,1.2,-0.1,1.6,0.1,51.9,180.5,62.4,0.1,1.1,0.2,54321,1
129.6402,14.7,26.5,0.8,-0.1,1.6,0.1,51.7,180.3,61.8,0.1,1.1,0.2,54321,1
129.6832,14.4,27.7,0.4,-0.1,1.6,0.1,51.2,180.8,61.5,0.1,1.1,0.2,54321,1
129.7259,14.4,29.1,0.3,0.0,1.6,0.1,52.9,182.2,62.4,0.1,1.1,0.2,54321,1
