Timestamp,Head_Pitch,Head_Yaw,Head_Roll,Head_X,Head_Y,Head_Z,Controller_Pitch,Controller_Yaw,Controller_Roll,Controller_X,Controller_Y,Controller_Z,Utente
280.1091,23.8,9.9,354.2,0.1,1.6,0.2,58.7,138.4,49.9,0.3,1.2,-0.1,3
280.1657,23.8,10.0,354.3,0.1,1.6,0.2,61.4,136.6,45.1,0.3,1.2,-0.1,3
280.2207,23.7,10.1,354.4,0.1,1.6,0.2,66.7,136.6,41.3,0.3,1.2,-0.1,3
280.2763,23.5,10.1,354.6,0.1,1.6,0.2,70.9,133.8,31.3,0.3,1.2,0.0,3
280.3318,23.5,10.4,354.8,0.1,1.6,0.2,74.2,135.9,27.2,0.3,1.2,0.0,3
280.3867,23.0,10.6,355.0,0.1,1.6,0.2,74.9,127.8,18.8,0.3,1.2,0.0,3
280.4432,22.6,10.6,355.1,0.1,1.6,0.2,76.0,130.1,18.3,0.3,1.2,0.0,3
280.4989,22.2,10.8,355.2,0.1,1.6,0.2,80.6,136.3,19.9,0.3,1.2,0.0,3
280.554,21.9,10.8,355.2,0.1,1.6,0.2,84.5,149.8,29.5,0.3,1.1,0.0,3
280.6099,21.6,10.8,355.0,0.1,1.6,0.2,83.3,214.1,93.4,0.3,1.1,0.0,3
280.6656,21.2,10.4,354.6,0.1,1.6,0.2,83.4,158.1,42.0,0.3,1.1,0.0,3
280.7218,20.8,10.1,354.5,0.1,1.6,0.2,79.9,170.6,59.2,0.3,1.1,0.0,3
280.7774,20.4,10.1,354.6,0.1,1.6,0.2,79.5,151.9,39.5,0.3,1.1,0.0,3
280.8328,20.5,10.2,354.9,0.1,1.6,0.2,80.7,171.1,61.6,0.3,1.1,0.0,3
280.8886,20.6,10.0,355.2,0.1,1.6,0.2,80.5,160.6,50.8,0.3,1.1,0.0,3
281.1115,20.9,9.0,354.9,0.1,1.6,0.2,79.2,134.7,26.8,0.3,1.1,0.0,3
281.1672,21.2,8.9,355.0,0.1,1.6,0.2,79.7,141.4,33.0,0.3,1.1,0.0,3
281.2226,21.6,8.7,355.0,0.1,1.6,0.2,80.8,141.6,33.7,0.3,1.1,0.0,3
281.2788,21.6,8.6,355.2,0.1,1.6,0.2,79.9,136.7,29.2,0.3,1.1,0.0,3
281.3361,21.6,8.4,355.3,0.1,1.6,0.2,80.3,139.8,32.0,0.3,1.1,0.0,3
281.3923,21.5,8.4,355.5,0.1,1.6,0.2,80.2,138.0,30.0,0.3,1.1,0.0,3
281.4489,21.6,8.2,355.4,0.1,1.6,0.2,80.1,138.9,31.0,0.3,1.1,0.0,3
281.5058,21.7,8.3,355.5,0.1,1.6,0.2,79.6,140.4,32.8,0.3,1.1,0.0,3
281.5617,21.9,8.2,355.5,0.1,1.6,0.2,79.4,138.2,30.6,0.3,1.1,0.0,3
281.6178,21.9,8.1,355.6,0.1,1.6,0.2,80.0,141.0,34.0,0.3,1.1,0.0,3
281.6753,22.1,8.1,355.5,0.1,1.6,0.2,79.2,136.1,29.8,0.3,1.2,0.0,3
281.7326,22.1,8.0,355.7,0.1,1.6,0.2,79.4,138.6,32.4,0.3,1.2,0.0,3
281.7892,22.4,7.8,355.7,0.1,1.6,0.2,79.5,139.5,33.3,0.3,1.2,0.0,3
281.8457,22.4,7.6,355.7,0.1,1.6,0.2,79.2,137.4,31.8,0.3,1.2,0.0,3
281.9016,22.3,7.7,355.7,0.1,1.6,0.2,79.4,135.8,30.1,0.3,1.2,0.0,3
281.9571,22.2,7.9,355.8,0.1,1.6,0.2,79.5,135.4,29.9,0.3,1.2,0.0,3
282.0123,21.9,7.9,355.9,0.1,1.6,0.2,79.4,132.9,27.7,0.3,1.2,0.0,3
282.0684,21.7,7.8,356.0,0.1,1.6,0.2,79.8,132.1,26.6,0.3,1.2,0.0,3
282.1244,21.6,7.8,355.9,0.1,1.6,0.2,79.8,131.2,26.4,0.3,1.2,0.0,3
282.18,21.5,7.9,355.9,0.1,1.6,0.2,79.9,129.7,24.7,0.3,1.2,0.0,3
282.2355,21.3,7.9,356.0,0.1,1.6,0.2,80.6,126.5,22.9,0.3,1.2,0.0,3
282.2914,21.3,7.9,355.8,0.1,1.6,0.2,80.4,126.1,21.9,0.3,1.2,0.0,3
282.347,21.3,8.0,355.8,0.1,1.6,0.2,80.4,126.4,22.4,0.3,1.2,0.0,3
282.4018,21.3,7.9,355.7,0.1,1.6,0.2,80.0,124.2,20.3,0.3,1.2,0.0,3
282.4571,21.3,7.9,355.8,0.1,1.6,0.2,80.2,124.7,20.8,0.3,1.2,0.0,3
282.4999,21.2,7.9,355.7,0.1,1.6,0.2,80.2,124.1,20.1,0.3,1.2,0.0,3
282.5426,21.3,7.9,355.7,0.1,1.6,0.2,79.9,123.2,19.2,0.3,1.2,0.0,3
282.5855,21.3,7.9,355.7,0.1,1.6,0.2,80.1,124.5,20.1,0.3,1.2,0.0,3
282.6281,21.3,8.0,355.6,0.1,1.6,0.2,80.0,124.1,19.8,0.3,1.2,0.0,3
