Timestamp,Head_Pitch,Head_Yaw,Head_Roll,Head_X,Head_Y,Head_Z,Controller_Pitch,Controller_Yaw,Controller_Roll,Controller_X,Controller_Y,Controller_Z,Utente
202.2571,9.0,230.8,356.8,0.1,1.7,-0.1,58.8,24.1,49.5,0.0,1.2,-0.1,4
202.3243,9.9,230.6,356.8,0.1,1.7,-0.1,58.9,24.2,49.5,0.0,1.2,-0.1,4
202.394,11.3,230.6,357.2,0.1,1.7,-0.1,59.5,24.5,49.8,0.0,1.2,-0.1,4
202.4492,11.9,231.1,357.5,0.1,1.7,-0.1,59.7,24.2,49.3,0.0,1.2,-0.1,4
202.5197,11.4,231.2,357.3,0.1,1.7,-0.1,59.7,24.7,49.6,0.0,1.2,-0.1,4
202.5761,11.2,231.2,357.4,0.1,1.7,-0.1,59.4,24.9,49.8,0.0,1.2,-0.1,4
202.6328,11.4,231.1,357.5,0.1,1.7,-0.1,59.3,24.6,49.5,0.0,1.2,-0.1,4
202.6902,11.8,231.1,357.6,0.1,1.7,-0.1,59.4,24.7,49.6,0.0,1.2,-0.1,4
202.7483,12.1,231.1,357.6,0.1,1.7,-0.1,59.5,24.4,49.3,0.0,1.2,-0.1,4
202.8055,12.1,231.3,357.7,0.1,1.7,-0.1,59.6,24.5,49.5,0.0,1.2,-0.1,4
202.8632,12.0,231.4,357.7,0.1,1.7,-0.1,59.4,24.2,49.2,0.0,1.2,-0.1,4
202.9215,11.8,231.3,357.7,0.1,1.7,-0.1,59.5,24.4,49.4,0.0,1.2,-0.1,4
202.9651,11.8,231.3,357.7,0.1,1.7,-0.1,59.4,24.2,49.2,0.0,1.2,-0.1,4
203.0215,11.9,231.3,357.8,0.1,1.7,-0.1,59.5,24.4,49.4,0.0,1.2,-0.1,4
203.0643,11.8,231.4,357.8,0.1,1.7,-0.1,59.5,24.1,49.2,0.0,1.2,-0.1,4
203.1058,11.8,231.4,357.8,0.1,1.7,-0.1,59.8,24.4,49.5,0.0,1.2,-0.1,4
203.1481,11.7,231.4,357.7,0.1,1.7,-0.1,59.5,23.7,48.8,0.0,1.2,-0.1,4
203.1897,11.6,231.4,357.8,0.1,1.7,-0.1,59.7,24.6,49.6,0.0,1.2,-0.1,4
203.2454,11.6,231.4,357.9,0.1,1.7,-0.1,59.7,24.2,49.2,0.0,1.2,-0.1,4
203.2877,11.6,231.4,357.8,0.1,1.7,-0.1,59.7,24.2,49.2,0.0,1.2,-0.1,4
203.3305,11.6,231.6,357.9,0.1,1.7,-0.1,59.7,24.6,49.2,0.0,1.2,-0.1,4
203.3732,11.4,232.0,357.9,0.1,1.7,-0.1,59.4,25.0,49.6,0.0,1.2,-0.1,4
203.4164,11.1,232.7,358.1,0.1,1.7,-0.1,59.3,25.6,49.9,0.0,1.2,-0.1,4
203.459,11.1,233.4,358.2,0.1,1.7,-0.1,58.5,26.0,49.4,0.0,1.2,-0.1,4
203.502,11.1,234.3,358.5,0.1,1.7,-0.1,58.5,27.4,50.7,0.0,1.3,-0.1,4
