Timestamp,Head_Pitch,Head_Yaw,Head_Roll,Head_X,Head_Y,Head_Z,Controller_Pitch,Controller_Yaw,Controller_Roll,Controller_X,Controller_Y,Controller_Z,Utente
142.3979,12.3,9.5,358.6,-0.1,1.7,-0.1,65.5,163.1,53.5,0.1,1.1,-0.1,5
142.468,11.4,8.9,358.5,-0.1,1.7,-0.1,65.6,163.4,54.1,0.1,1.1,-0.1,5
142.5382,10.6,8.5,358.5,-0.1,1.7,-0.1,65.7,163.4,54.2,0.1,1.1,-0.1,5
142.608,10.5,8.2,358.5,-0.1,1.7,-0.1,65.7,162.8,53.8,0.1,1.1,-0.1,5
142.6631,10.7,8.1,358.5,-0.1,1.7,-0.1,65.8,162.9,53.8,0.1,1.1,-0.1,5
142.7334,11.0,8.2,358.7,-0.1,1.7,-0.1,65.8,162.7,53.7,0.1,1.1,-0.1,5
142.7896,11.2,8.3,358.6,-0.1,1.7,-0.1,65.9,162.4,53.4,0.1,1.1,-0.1,5
142.8467,11.1,8.4,358.6,-0.1,1.7,-0.1,65.8,162.4,53.3,0.1,1.1,-0.1,5
142.905,11.0,8.3,358.6,-0.1,1.7,-0.1,65.9,162.5,53.5,0.1,1.1,-0.1,5
142.9629,11.0,8.1,358.5,-0.1,1.7,-0.1,65.8,162.6,53.5,0.1,1.1,-0.1,5
143.0194,11.1,8.2,358.5,-0.1,1.7,-0.1,65.8,162.9,53.8,0.1,1.1,-0.1,5
143.0777,11.2,8.2,358.5,-0.1,1.7,-0.1,65.7,163.0,53.9,0.1,1.1,-0.1,5
143.1224,11.1,8.2,358.5,-0.1,1.7,-0.1,65.6,163.3,54.3,0.1,1.1,-0.1,5
143.1792,11.2,8.2,358.4,-0.1,1.7,-0.1,65.6,163.3,54.3,0.1,1.1,-0.1,5
143.2208,11.2,8.2,358.5,-0.1,1.7,-0.1,65.6,163.2,54.1,0.1,1.1,-0.1,5
143.2771,11.2,8.2,358.4,-0.1,1.7,-0.1,65.5,163.0,53.9,0.1,1.1,-0.1,5
143.3201,11.2,8.2,358.5,-0.1,1.7,-0.1,65.6,163.3,54.2,0.1,1.1,-0.1,5
143.3626,11.1,8.2,358.4,-0.1,1.7,-0.1,65.6,163.1,54.0,0.1,1.1,-0.1,5
143.4052,11.0,8.2,358.4,-0.1,1.7,-0.1,65.6,163.3,54.2,0.1,1.1,-0.1,5
143.4469,10.9,8.2,358.4,-0.1,1.7,-0.1,65.6,163.2,54.0,0.1,1.1,-0.1,5
143.4892,10.8,8.2,358.4,-0.1,1.7,-0.1,65.6,163.5,54.3,0.1,1.1,-0.1,5
143.5316,10.8,8.2,358.3,-0.1,1.7,-0.1,65.6,163.5,54.2,0.1,1.1,-0.1,5
143.5746,10.7,8.3,358.3,-0.1,1.7,-0.1,65.6,163.6,54.3,0.1,1.1,-0.1,5
143.618,10.7,8.3,358.3,-0.1,1.7,-0.1,65.7,163.6,54.2,0.1,1.1,-0.1,5
143.6594,10.7,8.3,358.3,-0.1,1.7,-0.1,65.7,163.8,54.4,0.1,1.1,-0.1,5
143.7018,10.7,8.3,358.3,-0.1,1.7,-0.1,65.7,164.1,54.5,0.1,1.1,-0.1,5
143.7456,10.5,8.4,358.2,-0.1,1.7,-0.1,65.8,164.3,54.6,0.1,1.1,-0.1,5
143.7868,10.5,8.5,358.2,-0.1,1.7,-0.1,65.8,164.5,54.5,0.1,1.1,-0.1,5
143.8285,10.5,8.8,358.2,-0.1,1.7,-0.1,65.8,165.0,54.8,0.1,1.1,-0.1,5
143.8716,10.5,9.1,358.1,-0.1,1.7,-0.1,65.8,165.2,54.6,0.1,1.1,-0.1,5
143.913,10.5,9.4,358.0,-0.1,1.7,-0.1,65.8,165.9,54.9,0.1,1.1,-0.1,5
143.9417,10.4,9.8,358.0,-0.1,1.7,-0.1,65.9,167.0,55.7,0.1,1.1,-0.1,5
143.9716,10.4,10.4,358.0,-0.1,1.7,-0.1,65.9,167.1,55.3,0.1,1.1,-0.1,5
144.0,10.4,11.5,358.0,-0.1,1.7,-0.1,66.2,168.9,56.2,0.1,1.1,-0.1,5
144.0378,10.4,12.6,358.0,-0.1,1.7,-0.1,66.5,169.5,55.9,0.1,1.1,-0.1,5
144.0657,10.3,13.9,358.0,-0.1,1.7,-0.1,66.6,170.3,55.7,0.1,1.1,-0.1,5
144.0934,10.1,15.5,358.0,-0.1,1.7,-0.1,67.0,172.1,56.2,0.1,1.2,-0.1,5
144.121,10.0,17.5,357.9,0.0,1.7,-0.1,67.8,173.1,56.1,0.1,1.2,-0.1,5
144.1491,9.7,20.1,358.0,0.0,1.7,-0.1,68.9,174.3,56.3,0.1,1.2,-0.1,5
144.1767,9.3,23.2,358.0,0.0,1.7,-0.1,69.2,174.4,54.3,0.1,1.2,-0.1,5
144.205,9.1,26.9,358.0,0.0,1.7,-0.1,69.0,178.0,56.0,0.1,1.2,-0.1,5
144.2322,8.9,31.0,357.8,0.0,1.7,-0.1,69.0,182.7,58.3,0.1,1.1,-0.1,5
144.2609,9.2,35.4,357.6,0.0,1.7,-0.1,68.6,185.2,57.6,0.1,1.1,-0.2,5
144.2881,9.6,37.8,357.6,0.0,1.7,-0.1,68.3,186.2,56.8,0.1,1.1,-0.2,5
144.3111,9.9,42.1,357.6,0.0,1.7,-0.1,67.8,189.4,57.2,0.1,1.1,-0.2,5
144.3355,10.1,46.5,357.8,0.0,1.7,-0.1,67.5,192.2,56.7,0.1,1.2,-0.2,5
144.3591,10.0,50.9,357.9,0.0,1.7,-0.1,68.0,195.4,56.6,0.1,1.2,-0.2,5
144.3866,9.5,55.6,357.9,0.0,1.7,-0.1,68.6,199.1,57.0,0.1,1.2,-0.2,5
144.4147,9.2,60.1,358.1,0.0,1.7,-0.1,68.4,202.9,56.8,0.1,1.2,-0.2,5
144.4437,9.1,64.6,358.4,0.0,1.7,-0.1,68.3,206.1,56.0,0.1,1.2,-0.2,5
144.4722,9.3,71.5,358.8,0.0,1.7,-0.1,68.4,212.2,56.1,0.1,1.2,-0.2,5
144.5124,9.8,78.4,359.2,0.0,1.7,-0.2,68.3,218.0,56.2,0.1,1.2,-0.3,5
144.5493,10.5,87.1,359.6,0.0,1.7,-0.2,68.4,224.1,54.5,0.1,1.1,-0.3,5
144.5938,10.3,93.4,359.9,0.0,1.7,-0.2,67.4,234.5,56.5,0.0,1.1,-0.3,5
144.6407,11.0,97.3,359.8,0.0,1.7,-0.2,67.1,244.3,59.4,0.0,1.1,-0.3,5
144.6912,12.9,99.6,0.5,0.0,1.7,-0.2,65.5,248.5,57.0,0.0,1.1,-0.3,5
144.7476,13.5,101.2,1.3,0.0,1.7,-0.2,64.8,257.4,61.2,0.0,1.1,-0.3,5
144.8063,10.5,103.4,0.6,0.0,1.7,-0.2,66.1,263.0,63.3,-0.1,1.1,-0.4,5
144.8666,9.8,105.0,0.2,0.0,1.7,-0.2,66.3,261.3,59.0,-0.1,1.1,-0.4,5
144.9347,9.2,106.0,0.0,0.0,1.7,-0.2,67.2,263.0,59.0,-0.1,1.1,-0.4,5
145.0043,8.2,106.2,0.5,0.0,1.7,-0.3,68.2,262.7,58.3,-0.1,1.1,-0.4,5
145.0733,8.7,105.8,1.1,-0.1,1.7,-0.3,69.1,261.4,57.6,-0.1,1.2,-0.4,5
145.1431,9.1,105.9,0.2,-0.1,1.7,-0.3,69.8,258.9,55.8,-0.1,1.2,-0.4,5
145.2112,9.5,105.9,359.0,-0.1,1.7,-0.3,68.2,254.8,52.0,-0.1,1.2,-0.5,5
145.28,7.4,105.9,358.3,-0.1,1.7,-0.3,68.1,257.5,54.6,-0.1,1.2,-0.5,5
145.3497,6.6,105.0,357.8,-0.1,1.7,-0.3,68.5,257.8,54.9,-0.1,1.2,-0.4,5
145.4189,7.0,104.2,357.5,-0.1,1.7,-0.3,68.6,259.1,55.4,-0.1,1.1,-0.4,5
145.4887,7.5,103.8,357.6,-0.1,1.7,-0.3,69.1,262.3,58.7,-0.1,1.2,-0.4,5
145.5496,6.5,103.6,357.4,-0.1,1.7,-0.3,70.2,267.0,63.3,-0.1,1.2,-0.4,5
145.6102,6.5,103.5,357.2,-0.1,1.7,-0.3,69.9,264.9,61.1,-0.1,1.2,-0.4,5
145.67,6.5,103.5,357.3,-0.1,1.7,-0.3,70.1,262.4,59.0,-0.1,1.2,-0.4,5
145.7289,6.2,103.5,357.6,-0.1,1.7,-0.3,70.0,261.3,58.7,-0.1,1.2,-0.4,5
145.7851,6.3,102.8,358.0,-0.1,1.7,-0.3,69.7,260.2,57.5,-0.1,1.2,-0.4,5
145.8407,6.3,101.8,358.3,-0.1,1.7,-0.3,69.3,259.6,57.4,-0.1,1.2,-0.4,5
145.8963,6.4,100.7,358.5,-0.1,1.7,-0.3,69.4,259.2,56.8,-0.1,1.2,-0.4,5
145.954,6.3,100.0,358.7,-0.1,1.7,-0.3,69.6,258.9,57.1,-0.1,1.2,-0.4,5
146.0113,6.4,99.5,358.9,-0.1,1.7,-0.3,69.7,258.0,56.7,-0.1,1.2,-0.4,5
146.0686,6.5,99.0,359.0,-0.1,1.7,-0.2,69.5,256.6,55.9,-0.1,1.2,-0.4,5
146.1259,6.4,98.6,359.0,-0.1,1.7,-0.2,69.9,256.0,55.9,-0.1,1.2,-0.4,5
146.1826,6.3,98.4,359.0,-0.1,1.7,-0.2,69.9,255.7,55.9,-0.1,1.2,-0.4,5
146.2394,6.3,98.1,358.9,-0.1,1.7,-0.2,70.1,255.8,56.2,-0.1,1.2,-0.4,5
146.2959,6.5,98.0,358.8,-0.1,1.7,-0.2,70.0,256.2,56.6,-0.1,1.2,-0.4,5
146.3528,6.4,98.0,358.7,-0.1,1.7,-0.2,70.1,256.5,56.9,-0.1,1.2,-0.4,5
146.3949,6.4,98.2,358.6,-0.1,1.7,-0.3,70.2,256.4,56.8,-0.1,1.2,-0.4,5
146.4384,6.5,98.4,358.6,-0.1,1.7,-0.3,70.1,256.9,57.0,-0.1,1.2,-0.4,5
146.4814,6.5,98.5,358.5,-0.1,1.7,-0.3,70.2,257.4,57.6,-0.1,1.2,-0.4,5
